concurrency,decomposition,scatter_time_ms,sobel_time_ms,gather_time_ms
4,column-slab,38.2349,51.6981,33.4088
25,column-slab,34.4636,11.8824,27.4939
25,tiled,33.3706,8.2595,22.438
36,row-slab,32.5593,7.1667,22.6415
49,column-slab,38.3342,4.6131,26.5725
16,tiled,31.8427,12.9746,22.9078
81,row-slab,42.3204,4.7742,24.7893
16,column-slab,33.2654,14.4551,27.964
9,column-slab,39.0693,23.1715,29.6468
49,tiled,40.6786,4.4746,27.439
64,row-slab,42.1151,4.4031,24.4616
49,row-slab,35.5445,4.4978,24.3045
64,tiled,42.4599,3.6019,28.255
81,tiled,43.6929,2.988,27.7938
4,tiled,37.2949,51.9083,31.9417
4,row-slab,37.5534,52.0145,30.1414
81,column-slab,47.1904,5.0019,27.4739
16,row-slab,28.2276,13.1491,26.5048
64,column-slab,46.3766,3.9321,27.1459
36,tiled,36.4073,12.7338,22.9849
25,row-slab,32.163,9.7605,22.0342
9,tiled,35.9568,23.3674,22.1366
9,row-slab,31.8807,23.4371,22.7682
36,column-slab,35.7404,6.2987,26.0288
