concurrency,decomposition,num_messages,total_data_moved_MB
4,row-slab,6,209.3360595703125
9,row-slab,16,247.86083984375
16,row-slab,30,261.26312255859375
25,row-slab,48,266.96044921875
36,row-slab,70,269.6734619140625
49,row-slab,96,273.4716796875
64,row-slab,126,273.4716796875
81,row-slab,160,273.4716796875
4,column-slab,6,209.41744995117188
9,column-slab,16,248.128662109375
16,column-slab,30,261.47735595703125
25,column-slab,48,267.60205078125
36,column-slab,70,270.7036590576172
49,column-slab,96,273.255615234375
64,column-slab,126,274.5512237548828
81,column-slab,160,273.255615234375
4,tiled,6,209.41744995117188
9,tiled,16,248.0804443359375
16,tiled,30,261.6700744628906
25,tiled,48,267.9268798828125
36,tiled,70,271.17977142333984
49,tiled,96,273.4716796875
64,tiled,126,274.75357818603516
81,tiled,160,275.323486328125
