concurrency,decomposition,scatter_time_ms,sobel_time_ms,gather_time_ms
4,column-slab,40.7153,49.3252,34.5036
25,column-slab,31.2661,7.934,28.3514
25,tiled,32.5093,8.3246,23.8948
36,row-slab,29.3003,7.0035,24.7718
49,column-slab,34.0407,4.1478,26.8552
16,tiled,29.3296,11.8687,22.5466
81,row-slab,31.6132,4.4601,24.5948
16,column-slab,29.7009,12.0612,28.4647
9,column-slab,33.1689,21.2036,28.4784
49,tiled,32.6089,4.2259,27.1011
64,row-slab,31.8709,4.116,24.4942
49,row-slab,29.7498,4.4096,23.0455
64,tiled,34.0208,3.3015,27.6965
81,tiled,33.7719,2.8459,29.4344
4,tiled,39.2001,47.5437,32.5505
4,row-slab,39.8425,47.5306,30.6298
81,column-slab,36.4184,4.6901,27.7808
16,row-slab,28.8738,12.1606,24.6266
64,column-slab,35.6901,3.2738,27.1462
36,tiled,33.7394,5.633,24.1214
25,row-slab,32.0354,8.3346,24.1604
9,tiled,34.3385,21.1432,23.4901
9,row-slab,29.5457,21.2018,24.4063
36,column-slab,30.346,5.8468,27.5112
